",tomtom"
"0,대구 달성군 현풍읍 성하길 48 현풍 휴게소"
"1,경기도 남양주시 호평로46번길 14  (호평동)"
"2,서울시 마포구 잔다리로 16"
"3,충청남도 홍성군 은하면 서해안고속도로 220"
"4,충청남도 홍성군 은하면 서해안고속도로 221"
"5,서울시 서대문구 통일로 484,  (홍제동,유진상가)"
"6,강원도 홍천군 화촌면 군업리 산220-10 홍천 휴게소"
"7,강원도 홍천군 화촌면 서울양양고속도로 84 홍천 휴게소"
"8,서울 강서구 화곡로 176-4"
"9,경상북도 상주시 화서면 영남제일로 4119-26 화서(상주)휴게소"
"10,서울 강서구 화곡로 329"
"11,서울 광진구 동일로22길 115(화양동)"
"12,경상북도 경주시 건천읍 경부고속도로 76"
"13,경기도 광주시 곤지암읍 만삼로 211 경기광주(상)휴게소"
"14,경기도 광주시 곤지암읍 삼합리 산27-2  경기광주(하)"
"15,경기도 광주시 경안로 10  (경안동)"
"16,경상북도 경산시 진량읍 대학로 1089 경산 휴게소"
"17,경상북도 경주시 내남면 경부고속도로 59"
"18,서울시 성북구 인촌로24길 63"
"19,전라남도 곡성군 겸면 호남고속도로 49 곡성 휴게소"
"20,서울 노원구 동일로192길 31"
"21,충청남도 공주시 흑수골길 18"
"22,경기도 수원시 영통구 대학3로4번길 12 (이의동) 이스턴타워 1층 탐앤탐스"
"23,경기도 광명시 오리로 965(광명동)장현빌딩"
"24,경기도 광명시 소하로92번길 5 1층 103호"
"25,경기도 광명시 광명역로 21 (일직동)"
"26,경기도 광명시 하안로 60(소하동)"
"27,부산광역시 수영구 광안해변로278번길 42 오션브릿지"
"28,광주광역시 서구 운천로 247"
"29,경기도 광주시 오포읍 양벌로 327 1층"
"30,광주광역시 북구 서강로 78 골든프라자, 1,2층"
"31,서울 광진구 자양로 129 (자양동) Y타워빌딩"
"32,서울특별시 마포구 서강로 46 (창전동)"
"33,서울특별시 관악구 시흥대로 570 (신림동) 1층"
"34,경기도 구리시 경춘로227번길 14"
"35,경북 구미시 산호대로24길 9-45"
"36,경상북도 구미시 구미중앙로17길 16"
"37,경상북도 구미시 인동중앙로3길 18-8 (황상동) 1층"
"38,인천광역시 남동구 선수촌공원로23번길 11 (구월동) 네이쳐프라자"
"39,강원도 강릉시 구정면 동해고속도로 345 구정 휴게소"
"40,전라북도 군산시 성산면 서해안고속도로 141"
"41,전라북도 군산시  나포면 서해안고속도로 148"
"42,전라북도 군산시 대학로 531"
"43,전라북도 군산시 월명로 277"
"44,경상북도 군위군 산성면 백학리 15-2 군위영천 휴게소"
"45,서울 광진구 능동로 296"
"46,충북 옥천군 동이면 금강로 596"
"47,충청북도 옥천군 동이면 금강로 596"
"48,경기도 용인시 기흥구 공세동 260-1"
"49,서울 강동구 천호대로 1139  (길동)"
"50,부산 강서구 대저2동 2350 김해국제공항국내선청사"
"51,전라남도 나주시 빛가람로 676 (빛가람동) 씨티원빌딩"
"52,경기도 광주시 남한산성면 불당길  101"
"53,서울시 관악구 남부순환로 1474"
"54,서울 서초구 효령로 276  (서초동) 덕암빌딩"
"55,경상남도 창원시 성산구 가음로 100"
"56,강원도 인제군 상남면 서울양양고속도로 117 내린천 휴게소"
"57,강원도 인제군 상남면 서울양양고속도로 117 내린천 휴게소"
"58,서울특별시 동작구 노량진로 114  탐앤탐스"
"59,대전광역시 유성구 은구비서로23번길 11"
"60,경기도 의정부시 체육로 298-33"
"61,서울 강남구 논현로 726  (논현동)"
"62,서울 강남구 강남대로118길 43  (논현동)"
"63,충청남도 당진시 당진중앙2로 59-3"
"64,대구시 북구 칠곡중앙대로 326 탐앤탐스"
"65,대구 달서구 계대동문로 11-1"
"66,대구 광역시 수성구 들안로 10"
"67,대구 수성구 범어동 동대구로59길 16"
"68,대구 달서구 달구벌대로251안길 6"
"69,대구광역시 수성구 용학로 45"
"70,대구시 달서구 월성동 1855번지"
"71,대구 중구 달구별대로 2033"
"72,대구광역시 달서구 성서공단로15길 70 (호산동) 호산동 718-11"
"73,서울시 동작구 여의대방로 62길 1"
74대전광역시 유성구 은구비서로23번길 11
"75,대전광역시 서구 둔지로 17"
"76,대전광역시 동구 동서대로1695번길 30"
"77,대전광역시 대덕구 계족산로81번길 116"
"78,대전광역시 서구 둔산서로 59"
"79,대전광역시 유성구 문화원로 94"
"80,대구시 달서구 월성동 1855번지"
"81,대구 중구 달구별대로 2033"
"82,대구광역시 달서구 성서공단로15길 70 (호산동) 호산동 718-11"
"83,서울시 동작구 여의대방로 62길 1"
"84,대전 동구 용운동 대학로 55"
"85,대전광역시 서구 둔지로 17"
"86,대전광역시 동구 동서대로1695번길 30"
"87,대전광역시 대덕구 계족산로81번길 116"
"88,대전광역시 서구 둔산서로 59"
"89,대전광역시 유성구 문화원로 94"
"90,대전광역시 중구 중앙로156번길 13 (은행동) 중앙로156번길 13"
"91,서울 종로구 동숭길 117  (동숭동)"
"92,서울 중구 서소문로 117  (서소문동) 대한항공 BD"
"93,전라북도 무주군 안성면 통영대전고속도로 148"
"94,전라북도 장수군 계북면 통영대전고속도로 147"
"95,서울시 도봉구 마들로 657 (방학동)  이에스에이아파트상가"
"96,서울시 도봉구 도봉산4길 4-13"
"97,경상남도 김해시 삼안로195번길 37"
"98,대구 동구 동대구로 550"
"99,서울시 중구 동호로260,  1층2층 (장충동2가) 탐앤탐스"
"100,경기도 화성시 동탄지성로 11  (반송동) CGV동탄스타점"
"101,경기도 화성시  석우동 36-1 동탄 삼성쉐르빌 117호"
"102,대구 중구 국채보상로 547 [종로1가]"
"103,경기도 용인시 기흥구 신고매로 124 (고매동) 1동"
"104,경상남도 창원시 마산회원구 내서읍 삼계3길 5 나드리신발마트"
"105,경기도 남양주시 화도읍 마석로 100 A동"
"106,서울특별시 마포구 삼개로 15 (도화동)  탐앤탐스 "
"107,서울 마포구 토정로37길 17 1층~2층 탐앤탐스"
"108,서울 중랑구 용마산로115길 108"
"109,충청남도 천안시  서북구 성거읍 요방리 121"
"110,서울시 중구 명동8나길 51"
"111,경기도 시흥시 목감1길 47 목감 휴게소"
"112,서울 강서구 등촌로 19 (화곡제4동) 수남빌딩"
